Acc_X,Acc_Y ,Acc_Z,Lev[m]
0,35,-1035,32
-3,31,-1039,-35
-3,35,-1039,-46
0,35,-1035,-32
-3,39,-1039,-40
-3,35,-1035,-39
-3,35,-1039,-37
-3,35,-1035,-110
0,35,-1039,-54
-3,35,-1035,-49
0,35,-1039,-46
-3,35,-1035,-82
-3,35,-1035,-73
-3,35,-1039,-79
-3,35,-1039,-42
-3,39,-1035,-26
-11,39,-1039,-66
-3,39,-1039,-109
-3,39,-1035,-59
-3,39,-1039,-59
-3,35,-1031,-68
-3,39,-1039,-80
-3,39,-1035,-30
-3,39,-1035,-17
-3,35,-1035,-30
-3,39,-1039,-41
-3,35,-1039,-42
-3,35,-1035,-39
-3,39,-1035,-115
-3,39,-1035,-70
-3,39,-1035,-67
-3,39,-1035,-81
-3,39,-1039,-75
-3,35,-1035,-51
-3,39,-1035,-38
-3,39,-1035,-59
-3,39,-1039,-49
-3,39,-1039,-28
-3,39,-1039,-94
-3,39,-1035,-64
-3,39,-1035,-65
-3,39,-1035,-58
-3,39,-1035,-21
-3,35,-1039,-83
-7,39,-1035,-76
-3,39,-1035,-24
-3,39,-1035,-18
-3,35,-1039,-32
-3,39,-1035,-68
-3,39,-1035,-55
-3,39,-1035,-58
-3,39,-1039,-11
-3,35,-1039,-60
-3,35,-1035,-47
-3,39,-1035,-100
-3,39,-1035,-11
-7,35,-1039,-29
-3,39,-1039,-63
-3,31,-1039,-97
-3,31,-1035,-60
-3,31,-1035,-57
-3,35,-1035,-60
-3,39,-1035,-87
-3,31,-1039,-6
-3,35,-1035,-50
-3,35,-1035,-60
-3,35,-1039,-97
-3,31,-1039,-40
-3,35,-1035,-122
-3,35,-1039,-57
0,35,-1039,-118
-3,35,-1035,-87
-3,35,-1035,-94
-3,35,-1039,-62
-3,35,-1039,-56
-3,35,-1035,-115
-3,35,-1039,-124
-3,31,-1039,-55
-3,35,-1035,-31
0,35,-1035,-156
-3,35,-1035,-64
-3,35,-1039,-47
-3,35,-1039,-46
0,35,-1035,-67
0,35,-1035,-125
-3,35,-1035,-109
-3,35,-1039,-119
-3,35,-1035,-49
-3,35,-1035,-90
-3,35,-1039,-88
-3,35,-1039,-80
-3,31,-1042,-42
-3,35,-1035,-91
-3,35,-1039,-113
-3,35,-1039,-40
-3,35,-1035,-19
-3,35,-1039,-63
-3,35,-1035,-26
-3,35,-1039,-11
-3,39,-1039,-11
-3,39,-1035,-26
-3,39,-1035,-43
-3,35,-1035,-44
-3,35,-1039,-78
-3,35,-1035,-38
-3,35,-1039,-43
-3,35,-1035,-7
-3,35,-1039,-32
-3,39,-1035,-53
-3,35,-1039,-1
-3,35,-1035,-62
-3,35,-1039,-53
-3,35,-1035,-15
-3,35,-1035,-22
-3,35,-1035,-86
-3,35,-1035,-23
-7,39,-1035,-67
-7,39,-1039,-32
-3,39,-1039,-71
-7,35,-1039,-83
-7,35,-1039,-89
-7,35,-1039,-80
0,31,-1035,-114
-3,35,-1039,-105
0,31,-1039,-95
-3,35,-1035,-116
-3,35,-1035,-85
0,31,-1039,-104
0,31,-1035,-73
-3,35,-1039,-80
-3,31,-1035,-144
0,35,-1039,-122
